person # | positioned at node #
******0******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******1******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******2******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******3******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******4******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******5******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******6******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******7******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******8******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******9******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******10******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******11******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******12******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******13******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******14******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******15******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******16******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******17******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******18******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******19******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******20******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******21******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******22******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******23******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******24******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******25******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******26******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******27******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******28******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******29******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******30******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******31******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******32******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******33******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******34******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******35******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******36******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******37******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
******38******
1	5
10	3
2	8
3	13
4	6
5	14
6	14
7	4
8	8
9	3
